Line,Sex,Rep,Age,Block,Temperature
21,Female,1,14,1,28C
21,Female,1,.,1,28C
21,Female,1,31,1,28C
21,Male,1,10,1,28C
21,Male,1,14,1,28C
21,Male,1,14,1,28C
21,Female,2,10,1,28C
21,Female,2,24,1,28C
21,Female,2,31,1,28C
21,Male,2,19,1,28C
21,Male,2,24,1,28C
21,Male,2,38,1,28C
21,Female,3,27,1,28C
21,Female,3,31,1,28C
21,Female,3,31,1,28C
21,Male,3,.,1,28C
21,Male,3,21,1,28C
21,Male,3,24,1,28C
21,Female,4,24,1,28C
21,Female,4,31,1,28C
21,Female,4,32,1,28C
21,Male,4,19,1,28C
21,Male,4,24,1,28C
21,Male,4,24,1,28C
21,Female,5,26,1,28C
21,Female,5,31,1,28C
21,Female,5,31,1,28C
21,Male,5,24,1,28C
21,Male,5,24,1,28C
21,Male,5,.,1,28C
21,Female,6,19,1,28C
21,Female,6,32,1,28C
21,Female,6,40,1,28C
21,Male,6,21,1,28C
21,Male,6,21,1,28C
21,Male,6,21,1,28C
21,Female,7,24,1,28C
21,Female,7,31,1,28C
21,Female,7,33,1,28C
21,Male,7,14,1,28C
21,Male,7,.,1,28C
21,Male,7,20,1,28C
21,Female,8,31,1,28C
21,Female,8,32,1,28C
21,Female,8,38,1,28C
21,Male,8,24,1,28C
21,Male,8,25,1,28C
21,Male,8,35,1,28C
21,Female,9,14,1,28C
21,Female,9,31,1,28C
21,Female,9,40,1,28C
21,Male,9,17,1,28C
21,Male,9,21,1,28C
21,Male,9,21,1,28C
21,Female,10,31,1,28C
21,Female,10,33,1,28C
21,Female,10,38,1,28C
21,Male,10,7,1,28C
21,Male,10,18,1,28C
21,Male,10,24,1,28C
21,Female,11,10,1,28C
21,Female,11,21,1,28C
21,Female,11,31,1,28C
21,Male,11,28,1,28C
21,Male,11,28,1,28C
21,Male,11,.,1,28C
21,Female,12,20,1,28C
21,Female,12,24,1,28C
21,Female,12,38,1,28C
21,Male,12,12,1,28C
21,Male,12,19,1,28C
21,Male,12,.,1,28C
21,Female,13,17,1,28C
21,Female,13,14,1,28C
21,Female,13,14,1,28C
21,Male,13,17,1,28C
21,Male,13,14,1,28C
21,Male,13,7,1,28C
21,Female,14,26,1,28C
21,Female,14,14,1,28C
21,Female,14,14,1,28C
21,Male,14,32,1,28C
21,Male,14,17,1,28C
21,Male,14,14,1,28C
21,Female,15,35,1,28C
21,Female,15,32,1,28C
21,Female,15,32,1,28C
21,Male,15,28,1,28C
21,Male,15,28,1,28C
21,Male,15,14,1,28C
21,Female,16,35,1,28C
21,Female,16,32,1,28C
21,Female,16,17,1,28C
21,Male,16,32,1,28C
21,Male,16,14,1,28C
21,Male,16,.,1,28C
21,Female,17,33,1,28C
21,Female,17,24,1,28C
21,Female,17,14,1,28C
21,Male,17,14,1,28C
21,Male,17,14,1,28C
21,Male,17,14,1,28C
21,Female,18,32,1,28C
21,Female,18,32,1,28C
21,Female,18,28,1,28C
21,Male,18,20,1,28C
21,Male,18,14,1,28C
21,Male,18,14,1,28C
21,Female,19,32,1,28C
21,Female,19,.,1,28C
21,Female,19,14,1,28C
21,Male,19,32,1,28C
21,Male,19,24,1,28C
21,Male,19,17,1,28C
21,Female,20,32,1,28C
21,Female,20,32,1,28C
21,Female,20,32,1,28C
21,Male,20,17,1,28C
21,Male,20,17,1,28C
21,Male,20,17,1,28C
21,Female,21,32,1,28C
21,Female,21,17,1,28C
21,Female,21,14,1,28C
21,Male,21,17,1,28C
21,Male,21,17,1,28C
21,Male,21,14,1,28C
21,Female,22,38,1,28C
21,Female,22,19,1,28C
21,Female,22,14,1,28C
21,Male,22,18,1,28C
21,Male,22,14,1,28C
21,Male,22,14,1,28C
21,Female,23,35,1,28C
21,Female,23,24,1,28C
21,Female,23,19,1,28C
21,Male,23,14,1,28C
21,Male,23,14,1,28C
21,Male,23,10,1,28C
21,Female,24,21,1,28C
21,Female,24,14,1,28C
21,Female,24,7,1,28C
21,Male,24,34,1,28C
21,Male,24,14,1,28C
21,Male,24,7,1,28C
26,Female,1,26,1,28C
26,Female,1,.,1,28C
26,Female,1,28,1,28C
26,Male,1,26,1,28C
26,Male,1,28,1,28C
26,Male,1,31,1,28C
26,Female,2,24,1,28C
26,Female,2,25,1,28C
26,Female,2,28,1,28C
26,Male,2,24,1,28C
26,Male,2,26,1,28C
26,Male,2,.,1,28C
