Treatment,Gene,Rep,Sex,Age
18C/Std,bru-3,2,Female,114
18C/Std,bru-3,5,Female,123
18C/Std,bru-3,6,Female,108
18C/Std,bru-3,7,Female,84
18C/Std,bru-3,8,Female,1
18C/Std,bru-3,10,Female,7
18C/Std,bru-3,11,Female,122
18C/Std,bru-3,14,Female,135
18C/Std,bru-3,16,Female,123
18C/Std,bru-3,18,Female,147
18C/Std,bru-3,20,Female,126
18C/Std,bru-3,21,Female,9
18C/Std,bru-3,22,Female,147
18C/Std,bru-3,26,Female,114
18C/Std,bru-3,27,Female,128
18C/Std,bru-3,28,Female,112
18C/Std,bru-3,29,Female,112
18C/Std,bru-3,30,Female,112
18C/Std,bru-3,31,Female,126
18C/Std,bru-3,33,Female,121
18C/Std,bru-3,34,Female,128
18C/Std,bru-3,35,Female,119
18C/Std,bru-3,37,Female,112
18C/Std,bru-3,38,Female,133
18C/Std,bru-3,39,Female,128
18C/Std,bru-3,40,Female,7
18C/Std,bru-3,41,Female,107
18C/Std,bru-3,44,Female,11
18C/Std,bru-3,45,Female,128
18C/Std,bru-3,46,Female,119
18C/Std,bru-3,47,Female,23
18C/Std,bru-3,1,Female,8
18C/Std,bru-3,2,Female,126
18C/Std,bru-3,3,Female,185
18C/Std,bru-3,5,Female,133
18C/Std,bru-3,7,Female,101
18C/Std,bru-3,8,Female,120
18C/Std,bru-3,10,Female,81
18C/Std,bru-3,11,Female,142
18C/Std,bru-3,14,Female,142
18C/Std,bru-3,16,Female,126
18C/Std,bru-3,17,Female,147
18C/Std,bru-3,18,Female,147
18C/Std,bru-3,20,Female,140
18C/Std,bru-3,21,Female,11
18C/Std,bru-3,22,Female,147
18C/Std,bru-3,23,Female,133
18C/Std,bru-3,25,Female,119
18C/Std,bru-3,26,Female,142
18C/Std,bru-3,27,Female,154
18C/Std,bru-3,28,Female,133
18C/Std,bru-3,29,Female,121
18C/Std,bru-3,30,Female,112
18C/Std,bru-3,31,Female,140
18C/Std,bru-3,33,Female,121
18C/Std,bru-3,34,Female,154
18C/Std,bru-3,35,Female,128
18C/Std,bru-3,36,Female,128
18C/Std,bru-3,37,Female,149
18C/Std,bru-3,38,Female,140
18C/Std,bru-3,39,Female,147
18C/Std,bru-3,40,Female,119
18C/Std,bru-3,41,Female,142
18C/Std,bru-3,42,Female,100
18C/Std,bru-3,44,Female,105
18C/Std,bru-3,45,Female,140
18C/Std,bru-3,46,Female,135
18C/Std,bru-3,47,Female,119
18C/Std,bru-3,48,Female,102
18C/Std,bru-3,1,Female,147
18C/Std,bru-3,2,Female,130
18C/Std,bru-3,3,Female,190
18C/Std,bru-3,5,Female,142
18C/Std,bru-3,6,Female,161
18C/Std,bru-3,7,Female,123
18C/Std,bru-3,8,Female,121
18C/Std,bru-3,10,Female,154
18C/Std,bru-3,11,Female,154
18C/Std,bru-3,14,Female,156
18C/Std,bru-3,16,Female,133
18C/Std,bru-3,17,Female,147
18C/Std,bru-3,18,Female,155
18C/Std,bru-3,20,Female,141
18C/Std,bru-3,22,Female,154
18C/Std,bru-3,23,Female,141
18C/Std,bru-3,25,Female,147
18C/Std,bru-3,26,Female,154
18C/Std,bru-3,27,Female,168
18C/Std,bru-3,28,Female,133
18C/Std,bru-3,29,Female,123
18C/Std,bru-3,30,Female,128
18C/Std,bru-3,31,Female,158
18C/Std,bru-3,33,Female,142
18C/Std,bru-3,34,Female,162
18C/Std,bru-3,35,Female,147
18C/Std,bru-3,36,Female,154
18C/Std,bru-3,37,Female,154
18C/Std,bru-3,38,Female,144
18C/Std,bru-3,39,Female,161
18C/Std,bru-3,40,Female,126
18C/Std,bru-3,41,Female,149
18C/Std,bru-3,42,Female,126
18C/Std,bru-3,44,Female,140
18C/Std,bru-3,45,Female,154
18C/Std,bru-3,46,Female,142
18C/Std,bru-3,47,Female,128
18C/Std,bru-3,48,Female,107
18C/Std,bru-3,1,Male,72
18C/Std,bru-3,2,Male,112
18C/Std,bru-3,5,Male,15
18C/Std,bru-3,6,Male,119
18C/Std,bru-3,7,Male,74
18C/Std,bru-3,11,Male,147
18C/Std,bru-3,12,Male,9
18C/Std,bru-3,14,Male,112
18C/Std,bru-3,17,Male,74
18C/Std,bru-3,18,Male,120
18C/Std,bru-3,20,Male,49
18C/Std,bru-3,22,Male,9
18C/Std,bru-3,23,Male,18
18C/Std,bru-3,25,Male,49
18C/Std,bru-3,26,Male,119
18C/Std,bru-3,28,Male,119
18C/Std,bru-3,30,Male,105
18C/Std,bru-3,31,Male,84
18C/Std,bru-3,33,Male,109
18C/Std,bru-3,35,Male,4
18C/Std,bru-3,36,Male,4
18C/Std,bru-3,39,Male,42
18C/Std,bru-3,40,Male,119
18C/Std,bru-3,41,Male,7
18C/Std,bru-3,44,Male,93
18C/Std,bru-3,45,Male,140
18C/Std,bru-3,46,Male,100
18C/Std,bru-3,47,Male,109
18C/Std,bru-3,48,Male,112
18C/Std,bru-3,1,Male,119
18C/Std,bru-3,2,Male,119
18C/Std,bru-3,3,Male,81
18C/Std,bru-3,5,Male,140
18C/Std,bru-3,6,Male,158
18C/Std,bru-3,7,Male,106
18C/Std,bru-3,8,Male,126
18C/Std,bru-3,10,Male,147
18C/Std,bru-3,11,Male,168
18C/Std,bru-3,12,Male,81
18C/Std,bru-3,14,Male,129
18C/Std,bru-3,16,Male,128
18C/Std,bru-3,18,Male,129
18C/Std,bru-3,23,Male,148
18C/Std,bru-3,25,Male,116
18C/Std,bru-3,26,Male,140
18C/Std,bru-3,27,Male,151
18C/Std,bru-3,28,Male,162
18C/Std,bru-3,29,Male,112
18C/Std,bru-3,30,Male,128
18C/Std,bru-3,33,Male,163
18C/Std,bru-3,34,Male,102
18C/Std,bru-3,35,Male,119
18C/Std,bru-3,37,Male,63
18C/Std,bru-3,38,Male,119
18C/Std,bru-3,39,Male,119
18C/Std,bru-3,40,Male,119
18C/Std,bru-3,41,Male,119
18C/Std,bru-3,42,Male,93
18C/Std,bru-3,44,Male,119
18C/Std,bru-3,45,Male,154
18C/Std,bru-3,46,Male,119
18C/Std,bru-3,47,Male,119
18C/Std,bru-3,48,Male,128
18C/Std,bru-3,1,Male,147
18C/Std,bru-3,2,Male,122
18C/Std,bru-3,3,Male,105
18C/Std,bru-3,5,Male,157
18C/Std,bru-3,6,Male,168
18C/Std,bru-3,7,Male,107
18C/Std,bru-3,8,Male,140
18C/Std,bru-3,10,Male,158
18C/Std,bru-3,11,Male,185
18C/Std,bru-3,14,Male,147
18C/Std,bru-3,16,Male,154
18C/Std,bru-3,17,Male,119
18C/Std,bru-3,18,Male,136
18C/Std,bru-3,20,Male,126
18C/Std,bru-3,22,Male,142
18C/Std,bru-3,23,Male,154
18C/Std,bru-3,25,Male,119
18C/Std,bru-3,26,Male,154
18C/Std,bru-3,27,Male,168
18C/Std,bru-3,28,Male,170
18C/Std,bru-3,29,Male,116
18C/Std,bru-3,30,Male,186
18C/Std,bru-3,31,Male,133
18C/Std,bru-3,33,Male,183
18C/Std,bru-3,34,Male,128
18C/Std,bru-3,35,Male,156
18C/Std,bru-3,36,Male,165
18C/Std,bru-3,37,Male,114
18C/Std,bru-3,38,Male,172
18C/Std,bru-3,39,Male,161
18C/Std,bru-3,40,Male,126
18C/Std,bru-3,41,Male,140
18C/Std,bru-3,42,Male,98
18C/Std,bru-3,44,Male,130
18C/Std,bru-3,45,Male,156
18C/Std,bru-3,46,Male,140
18C/Std,bru-3,47,Male,147
18C/Std,CG11828,1,Female,98
18C/Std,CG11828,2,Female,122
18C/Std,CG11828,3,Female,147
18C/Std,CG11828,4,Female,128
18C/Std,CG11828,5,Female,92
18C/Std,CG11828,6,Female,7
18C/Std,CG11828,7,Female,122
18C/Std,CG11828,9,Female,119
18C/Std,CG11828,11,Female,4
18C/Std,CG11828,14,Female,99
18C/Std,CG11828,17,Female,112
18C/Std,CG11828,19,Female,74
18C/Std,CG11828,20,Female,147
18C/Std,CG11828,24,Female,121
18C/Std,CG11828,28,Female,119
18C/Std,CG11828,29,Female,49
18C/Std,CG11828,30,Female,128
18C/Std,CG11828,32,Female,119
18C/Std,CG11828,34,Female,16
18C/Std,CG11828,35,Female,49
